,RDF property,Shadowcat,API bibs,API items,Princeton/Columbia MARC source,Audit count,MARC field name,Definition,Notes
Resource type,dcterms:type,,"fixedFields.label = ""Material type""",,LDR/06 -- map to values in 'Resource type mappings' tab,,,,"map = {""r"" : ""art"", ""u"" : ""aud"", ""n"" : ""aud"", ""q"" : ""aud"", ""y"" : ""aud"", ""j"" : ""aud"", ""i"" : ""aud"", ""e"" : ""car"", ""p"" : ""mix"", ""v"" : ""mov"", ""3"" : ""mov"", ""s"" : ""mov"", ""b"" : ""mov"", ""m"" : ""mul"", ""d"" : ""not"", ""c"" : ""not"", ""g"" : ""img"", ""k"" : ""img"", ""a"" : ""txt"", ""z"" : ""txt"", ""l"" : ""txt"", ""t"" : ""txt"", ""h"" : ""txt"",}
'http://id.loc.gov/vocabulary/resourceTypes/' + map['materialType'['code']]"
Subject,dcterms:subject,classify:fast,"600
610
611
630
648
650
651
653
655",,,"1,956,200","Subject Added Entry-Personal Name
Subject Added Entry-Corporate Name
Subject Added Entry-Meeting Name
Subject Added Entry-Uniform Title
Subject Added Entry-Chronological Term
Subject Added Entry-Topical Term
Subject Added Entry-Geographic Name
Index Term-Uncontrolled
Index Term-Genre/Form",,
Subject literal,dc:subject,,same fields as for Subject,,,,,,"Join all subfields by "" -- """
Supplementary content,bf:supplementaryContent,,856 (see notes),,,,,,See Electronic Location / Supplementary Content tab for object mapping and see https://docs.google.com/spreadsheets/d/184IYVm8u5kthp6qtm06ryJkcfDykjG2DNXuAGvqt0wY/edit#gid=2105311450 for parsing and filtering to either Electronic location or Supplementary content. Ignore partner data for alpha.
Suppressed,nypl:suppressed,,suppressed,,,,,,
Temporal coverage,dcterms:temporal,,,,648,"19,135",Subject Added Entry-Chronological Term,,This could be used to generate more structured temporal terms for temporal coverage
Title,dcterms:title,,title,,245 $a,"8,448,413",,,
Work,dcterms:identifier,classify:owi,,,,,,,
,ol:id,,,,,,,,
,hathi:id,,,,,,,,
,hathi:vols,,,,,,,,
,hathi:access,,,,,,,,
,,,,,,,,,
Not mapped for Alpha,,,,,,,,,
Agency code,nypl:agency,,,,,,,,
Author notes,bt:authorNotes,,,,,,,,
Cover image,dbo:thumbnail,,,,,,,,
Flap,bt:flap,,,,,,,,
Item type code,nypl:itemType,,,,,,,,
Review,bt:review,,,,,,,,
Summary,dcterms:abstract,,,,N/A,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Registry relationship,RDF property,,,,,,,,
Equivalent to,bf:hasEquivalent,,,,,,,,
Has member,pcdm:hasMember,,,,,,,,
Has item,bf:hasItem,,,,,,,,
Has reproduction,bf:reproduction,,533,,,"1,051,080",Reproduction Note,,
Item of,bf:itemOf,,,,,,,,
Member of,pcdm:memberOf,,,,,,,,
Reproduction of,bf:originalVersion,,534,,534,"25,099",Original Version Note,,
,,,,,,,,,
In series,,,,,440,"725,404",,,
,,,,,490,"1,501,279",,,
,,,,,760,"3,426",Main Series Entry,,
Has subseries,,,,,762,633,Subseries Entry,,
,,,,,,,,,
Other relationships we may be interested in expressing,,,,,,,,,
Translation,bf:translation ,,,,,,,,
Translation of,bf:translationOf,,,,,,,,
